ad_id,street_name,price,address,bedrooms,bathrooms,reception,link,subway_station,distance,efficient,average_epc_B,average_epc_C,average_epc_D,average_epc_E,average_epc_F,tube_line_Bakerloo,tube_line_Central,tube_line_Circle,tube_line_DLR,tube_line_District,tube_line_Hammersmith & City,tube_line_Jubilee,tube_line_Kew Gardens,tube_line_London Overground,tube_line_London Underground,tube_line_Metropolitan,tube_line_Northern,tube_line_Piccadilly,tube_line_Victoria,tube_line_nan
151907,Lancaster Gate,23000000.0,"Hyde Park, W2",60,0,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-lancaster-gate-london-w2/151907,Lancaster Gate,0.26,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151907,Lancaster Gate,23000000.0,"Hyde Park, W2",60,0,1,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-lancaster-gate-london-w2/151907,Lancaster Gate,0.26,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159870,Lancaster Gate,1895000.0,"Hyde Park, W2",4,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-lancaster-gate-london-w2/159870,Lancaster Gate,0.15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159870,Lancaster Gate,1895000.0,"Hyde Park, W2",4,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-lancaster-gate-london-w2/159870,Lancaster Gate,0.15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124656,Wilton Crescent,19500000.0,"Wilton Crescent, SW1X",5,5,2,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-wilton-crescent-london-sw1x/124656,Knightsbridge,0.22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143179,Old Queen Street,9250000.0,"Westminster, SW1H",5,4,6,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-old-queen-street-london-sw1h/143179,St.James's Park,0.16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138689,Queen Street,6000000.0,"Mayfair, W1J",3,3,2,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-queen-street-london-w1j/138689,Green Park,0.18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138689,Queen Street,6000000.0,"Mayfair, W1J",3,3,2,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-queen-street-london-w1j/138689,Green Park,0.18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138689,Queen Street,6000000.0,"Mayfair, W1J",3,3,2,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-queen-street-london-w1j/138689,Green Park,0.18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138690,Queen Street,6000000.0,"Mayfair, W1J",3,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-queen-street-london-w1j/138690,East India,0.17,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
