index,street_name,URL
0,Abbotsford Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abbotsford+Avenue&town=London
1,Angerstein Lane,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Angerstein+Lane&town=London
2,Ashmead Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashmead+Road&town=London
3,Asmuns Place,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Asmuns+Place&town=London
4,Abney Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abney+Gardens&town=London
5,Adair Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Adair+Road&town=London
6,Ashridge Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashridge+Gardens&town=London
7,Appletree Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Appletree+Close&town=London
8,Arundel Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Arundel+Close&town=London
9,Allard Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Allard+Gardens&town=London
10,Ashburnham Grove,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashburnham+Grove&town=London
11,Atlas Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Atlas+Gardens&town=London
12,Ardmere Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ardmere+Road&town=London
13,Ascot Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ascot+Road&town=London
14,Aylesbury Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aylesbury+Close&town=London
15,Abbots Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abbots+Road&town=London
16,Ada Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ada+Street&town=London
17,Almington Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Almington+Street&town=London
18,Abbey Orchard Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abbey+Orchard+Street&town=London
19,Abbey Terrace,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abbey+Terrace&town=London
20,Azof Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Azof+Street&town=London
21,Aldersgrove Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aldersgrove+Avenue&town=London
22,Ainsworth Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ainsworth+Close&town=London
23,Ashbourne Way,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashbourne+Way&town=London
24,Ayres Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ayres+Street&town=London
25,Atherton Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Atherton+Road&town=London
26,Aboyne Drive,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aboyne+Drive&town=London
27,Ashley Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashley+Road&town=London
28,Abbotshall Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Abbotshall+Avenue&town=London
29,Alma Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alma+Street&town=London
30,Ainsty Estate,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ainsty+Estate&town=London
31,Amber Grove,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Amber+Grove&town=London
32,Amity Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Amity+Road&town=London
33,Ashlone Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashlone+Road&town=London
34,Advance Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Advance+Road&town=London
35,Antrim Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Antrim+Road&town=London
36,Arcadian Gardens,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Arcadian+Gardens&town=London
37,Ashness Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashness+Road&town=London
38,Alexandra Place,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alexandra+Place&town=London
39,Armstrong Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Armstrong+Road&town=London
40,Askew Villas,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Askew+Villas&town=London
41,Aylett Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aylett+Road&town=London
42,Amberden Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Amberden+Avenue&town=London
43,Anerley Park,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Anerley+Park&town=London
44,Ackroyd Drive,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ackroyd+Drive&town=London
45,Allan Barclay Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Allan+Barclay+Close&town=London
46,Arden Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Arden+Road&town=London
47,Alt Grove,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alt+Grove&town=London
48,Addison Grove,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Addison+Grove&town=London
49,Ashley Lane,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Ashley+Lane&town=London
50,Aylmer Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Aylmer+Road&town=London
51,Addle Hill,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Addle+Hill&town=London
52,Arlingford Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Arlingford+Road&town=London
53,Atwood Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Atwood+Road&town=London
54,Alabama Street,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alabama+Street&town=London
55,Alma Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Alma+Close&town=London
56,Adelaide Road,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Adelaide+Road&town=London
57,Amersham Avenue,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Amersham+Avenue&town=London
58,Audley Close,https://find-energy-certificate.digital.communities.gov.uk/find-a-certificate/search-by-street-name-and-town?street_name=Audley+Close&town=London
